>genome ntab08
>asmbl_id 1
NT08AB3019	NT08AB3018	NT08AB3020
NT08AB0796	NT08AB0797
NT08AB3252	NT08AB3251
NT08AB2132	NT08AB2131
NT08AB2194	NT08AB2193
NT08AB2238	NT08AB2239
NT08AB2901	NT08AB2902
NT08AB2021	NT08AB2020
NT08AB2992	NT08AB2993
NT08AB1442	NT08AB1444
NT08AB1518	NT08AB1519
NT08AB1368	NT08AB1367
NT08AB2613	NT08AB2614
NT08AB1304	NT08AB1303
NT08AB0099	NT08AB0098	NT08AB0097
NT08AB1705	NT08AB1706	NT08AB1707
NT08AB1403	NT08AB1404
NT08AB3683	NT08AB3684
NT08AB1259	NT08AB1258
NT08AB1599	NT08AB1598
NT08AB2382	NT08AB2383
NT08AB0991	NT08AB0992
NT08AB0216	NT08AB0217
NT08AB1001	NT08AB1002
NT08AB0214	NT08AB0215
NT08AB0180	NT08AB0181
NT08AB2530	NT08AB2531
NT08AB2891	NT08AB2890
NT08AB3955	NT08AB3954
NT08AB0574	NT08AB0573
NT08AB0925	NT08AB0926
NT08AB3420	NT08AB3419
NT08AB3002	NT08AB3003
NT08AB0076	NT08AB0075
NT08AB3976	NT08AB3977
NT08AB0408	NT08AB0407
NT08AB3918	NT08AB3920
NT08AB3695	NT08AB3696
NT08AB3527	NT08AB3526
NT08AB3230	NT08AB3231
NT08AB2512	NT08AB2514
NT08AB0530	NT08AB0531
NT08AB3349	NT08AB3348
NT08AB3708	NT08AB3707
NT08AB2772	NT08AB2771
NT08AB0231	NT08AB0230
NT08AB1524	NT08AB1523
NT08AB0157	NT08AB0156
NT08AB0088	NT08AB0089
NT08AB3784	NT08AB3785
NT08AB2215	NT08AB2216
NT08AB0029	NT08AB0030
NT08AB2867	NT08AB2866	NT08AB2868
NT08AB2806	NT08AB2805
NT08AB1393	NT08AB1394
NT08AB0119	NT08AB0120
NT08AB0997	NT08AB0996
NT08AB0936	NT08AB0935
NT08AB2610	NT08AB2611
NT08AB2621	NT08AB2622
NT08AB1409	NT08AB1410
NT08AB1067	NT08AB1068	NT08AB1069
NT08AB1132	NT08AB1133
NT08AB0973	NT08AB0975
NT08AB0289	NT08AB0290
NT08AB0624	NT08AB0625
NT08AB3832	NT08AB3831
NT08AB4039	NT08AB4040
NT08AB2875	NT08AB2874
NT08AB1159	NT08AB1160
NT08AB0387	NT08AB0386
NT08AB3229	NT08AB3228
NT08AB1307	NT08AB1306
NT08AB1779	NT08AB1780
NT08AB0341	NT08AB0342
NT08AB1228	NT08AB1227
NT08AB2794	NT08AB2793
NT08AB3974	NT08AB3975
NT08AB3095	NT08AB3094
NT08AB2547	NT08AB2546	NT08AB2545
NT08AB3518	NT08AB3517
NT08AB2781	NT08AB2782
NT08AB3990	NT08AB3989
NT08AB2800	NT08AB2799
NT08AB4034	NT08AB4035
NT08AB1544	NT08AB1543
NT08AB2364	NT08AB2363
NT08AB3645	NT08AB3646
NT08AB0827	NT08AB0828
NT08AB3212	NT08AB3213
NT08AB3835	NT08AB3834
NT08AB3430	NT08AB3431
NT08AB3760	NT08AB3759
NT08AB0323	NT08AB0322
NT08AB2880	NT08AB2881	NT08AB2879
NT08AB2561	NT08AB2560
NT08AB2235	NT08AB2234
NT08AB3380	NT08AB3381
NT08AB0647	NT08AB0648
NT08AB1533	NT08AB1534
NT08AB1935	NT08AB1934
NT08AB2549	NT08AB2550
NT08AB3567	NT08AB3566
NT08AB3751	NT08AB3750
NT08AB1940	NT08AB1941
NT08AB3893	NT08AB3894
NT08AB3946	NT08AB3945
NT08AB3341	NT08AB3342
NT08AB1073	NT08AB1074
NT08AB1390	NT08AB1389
NT08AB2111	NT08AB2112
NT08AB0963	NT08AB0964
NT08AB3509	NT08AB3510
NT08AB0384	NT08AB0385
NT08AB3083	NT08AB3082
NT08AB2763	NT08AB2762
NT08AB3363	NT08AB3362
NT08AB1772	NT08AB1773
NT08AB2454	NT08AB2453
NT08AB0365	NT08AB0366
NT08AB1907	NT08AB1906
NT08AB0578	NT08AB0577
NT08AB1219	NT08AB1218	NT08AB1220
NT08AB0616	NT08AB0617
NT08AB2597	NT08AB2596
NT08AB1185	NT08AB1186
NT08AB3746	NT08AB3747
NT08AB3589	NT08AB3588
NT08AB1809	NT08AB1810
NT08AB3089	NT08AB3088
NT08AB3983	NT08AB3984
NT08AB0334	NT08AB0335
NT08AB3640	NT08AB3639
NT08AB1399	NT08AB1400
NT08AB2676	NT08AB2675
NT08AB2572	NT08AB2571
NT08AB0523	NT08AB0524
NT08AB2527	NT08AB2526
NT08AB1515	NT08AB1516
NT08AB2821	NT08AB2820	NT08AB2819
NT08AB2016	NT08AB2017
NT08AB1061	NT08AB1060
NT08AB3503	NT08AB3502
NT08AB0435	NT08AB0436
NT08AB1578	NT08AB1579
NT08AB0641	NT08AB0642
NT08AB2135	NT08AB2136
NT08AB2827	NT08AB2826
NT08AB1528	NT08AB1529	NT08AB1530
NT08AB2205	NT08AB2204
NT08AB1953	NT08AB1952
NT08AB2074	NT08AB2075
NT08AB0093	NT08AB0092
NT08AB2451	NT08AB2450	NT08AB2449
NT08AB3474	NT08AB3473
NT08AB2206	NT08AB2207
NT08AB1650	NT08AB1649	NT08AB1648
NT08AB1449	NT08AB1450
NT08AB1291	NT08AB1290
NT08AB1685	NT08AB1686
NT08AB1125	NT08AB1124
NT08AB2061	NT08AB2062
NT08AB3493	NT08AB3494
NT08AB0904	NT08AB0905
NT08AB2484	NT08AB2485
NT08AB2519	NT08AB2518
NT08AB2492	NT08AB2493
NT08AB1677	NT08AB1676
NT08AB2182	NT08AB2183
NT08AB0515	NT08AB0514
NT08AB1684	NT08AB1683
NT08AB1095	NT08AB1094
NT08AB1927	NT08AB1928
NT08AB2665	NT08AB2666
NT08AB1924	NT08AB1923
NT08AB1751	NT08AB1750
NT08AB2944	NT08AB2945
NT08AB1608	NT08AB1607	NT08AB1606
NT08AB1112	NT08AB1113
NT08AB0792	NT08AB0791
NT08AB1562	NT08AB1561
NT08AB0256	NT08AB0257	NT08AB0258
NT08AB0593	NT08AB0592
NT08AB0960	NT08AB0959
NT08AB2106	NT08AB2105
NT08AB2947	NT08AB2948
NT08AB0639	NT08AB0638
NT08AB1845	NT08AB1843
NT08AB1504	NT08AB1505
NT08AB1875	NT08AB1874
NT08AB2404	NT08AB2405
>genome ntab16
>asmbl_id 1
NT16AB2468	NT16AB2469
NT16AB2317	NT16AB2316
NT16AB2210	NT16AB2211
NT16AB1869	NT16AB1868
NT16AB2385	NT16AB2386
NT16AB1939	NT16AB1938
NT16AB0163	NT16AB0164
NT16AB2397	NT16AB2396
NT16AB1888	NT16AB1887
NT16AB1873	NT16AB1874
NT16AB1350	NT16AB1349
>asmbl_id 2
NT16ABA0004	NT16ABA0003
NT16ABA0007	NT16ABA0006
>genome ntab17
>asmbl_id 1
NT17AB0935	NT17AB0934
NT17AB0905	NT17AB0906
NT17AB0926	NT17AB0925
NT17AB1484	NT17AB1485
NT17AB1292	NT17AB1291
NT17AB3042	NT17AB3043
NT17AB1560	NT17AB1561
NT17AB1797	NT17AB1796
NT17AB0684	NT17AB0685
NT17AB1444	NT17AB1445
NT17AB1519	NT17AB1518
NT17AB0737	NT17AB0736
NT17AB2762	NT17AB2761
NT17AB2094	NT17AB2093
NT17AB0787	NT17AB0786
NT17AB2020	NT17AB2021
NT17AB2748	NT17AB2749
NT17AB3212	NT17AB3213
NT17AB0618	NT17AB0619
NT17AB1534	NT17AB1533
NT17AB0664	NT17AB0665
NT17AB3167	NT17AB3168
NT17AB3083	NT17AB3084
NT17AB1948	NT17AB1949
NT17AB2790	NT17AB2791
NT17AB2556	NT17AB2557
NT17AB1557	NT17AB1556
NT17AB2517	NT17AB2516
NT17AB0129	NT17AB0130
NT17AB0833	NT17AB0832
NT17AB3016	NT17AB3017
NT17AB2258	NT17AB2259
NT17AB0255	NT17AB0254
NT17AB2278	NT17AB2279
NT17AB0247	NT17AB0248
NT17AB1573	NT17AB1574
NT17AB2856	NT17AB2855
NT17AB2863	NT17AB2862
NT17AB0451	NT17AB0449
NT17AB0722	NT17AB0723
NT17AB0595	NT17AB0594
NT17AB2441	NT17AB2442
NT17AB3251	NT17AB3250
NT17AB3159	NT17AB3158
NT17AB3154	NT17AB3155
NT17AB3218	NT17AB3216
NT17AB3193	NT17AB3192
NT17AB1831	NT17AB1830
NT17AB1834	NT17AB1835
NT17AB1031	NT17AB1030
NT17AB1956	NT17AB1955
NT17AB1837	NT17AB1838
NT17AB0577	NT17AB0578
NT17AB1087	NT17AB1086
NT17AB1925	NT17AB1924	NT17AB1923	NT17AB1922
NT17AB3314	NT17AB3313
NT17AB1940	NT17AB1941
NT17AB2004	NT17AB2003
NT17AB3081	NT17AB3080
NT17AB1730	NT17AB1729
NT17AB0498	NT17AB0497
NT17AB0860	NT17AB0861
NT17AB2355	NT17AB2356
NT17AB1897	NT17AB1898
NT17AB1005	NT17AB1006
NT17AB2638	NT17AB2637
NT17AB2822	NT17AB2821
NT17AB1488	NT17AB1489
NT17AB1154	NT17AB1153	NT17AB1152
NT17AB0239	NT17AB0238
NT17AB2265	NT17AB2264
NT17AB0836	NT17AB0834
NT17AB0541	NT17AB0540
NT17AB1770	NT17AB1769
NT17AB0116	NT17AB0115
NT17AB2548	NT17AB2547
NT17AB1889	NT17AB1890
NT17AB2577	NT17AB2576
NT17AB2901	NT17AB2902
NT17AB0635	NT17AB0636
NT17AB0995	NT17AB0996
NT17AB3306	NT17AB3307
NT17AB2371	NT17AB2370
