NT08AB0001	NT16AB0001 (99.78%)	NT17AB0001 (99.26%)	NT20ABA0020 (99.78%)
NT08AB0002	NT16AB0002 (100.00%)	NT17AB0002 (99.74%)	NT20ABA0019 (100.00%)
NT08AB0003	NT16AB0003 (100.00%)	NT17AB0003 (98.89%)	NT20ABA0018 (100.00%)
NT08AB0004	NT16AB0004 (99.76%)	NT17AB0004 (99.39%)	NT20ABA0017 (99.88%)
NT08AB0005	NT16AB0005 (99.23%)	NT17AB0005 (99.04%)	NT20ABA0016 (99.23%)
NT08AB0006	NT16AB0006 (100.00%)	NT17AB0006 (98.92%)	NT20ABA0015 (100.00%)
NT08AB0007	NT16AB0007 (99.07%)	NT17AB0007 (99.38%)	NT20ABA0014 (99.07%)
NT08AB0008	NT16AB0008 (99.70%)	NT17AB0008 (98.20%)	NT20ABA0013 (99.10%)
NT08AB0009	NT16AB0009 (100.00%)	NT17AB0009 (100.00%)	NT20ABA0006 (100.00%)
NT08AB0010	NT16AB0010 (99.70%)	NT17AB0010 (99.70%)	NT20ABA0005 (100.00%)
NT08AB0011	NT16AB0011 (100.00%)	NT17AB0011 (100.00%)	NT20ABA0004 (100.00%)
NT08AB0012	NT16AB0012 (95.02%)	NT17AB0014 (94.55%)	NT20ABA0003 (97.86%)
NT08AB0013	NT16AB0013 (99.47%)	NT17AB0015 (99.47%)	NT20ABA0002 (99.73%)
NT08AB0014	NT16AB0014 (100.00%)	NT17AB0016 (100.00%)	NT20ABA0001 (100.00%)
NT08AB0015			
NT08AB0016			
NT08AB0017			
NT08AB0018			
NT08AB0019			
NT08AB0020			
NT08AB0021			
NT08AB0022			
NT08AB0023		NT17AB2298 (37.93%)	
NT08AB0024	NT16AB3788 (96.12%)	NT17AB2701 (94.17%)	NT20ABA0061 (96.12%)
NT08AB0025	NT16AB3787 (99.44%)	NT17AB2699 (100.00%)	NT20ABA0062 (99.44%)
NT08AB0026	NT16AB3786 (99.38%)	NT17AB0023 (99.38%)	NT20ABA0063 (99.38%)
NT08AB0027	NT16AB3785 (100.00%)	NT17AB0024 (99.26%)	NT20ABA0064 (100.00%)
NT08AB0028	NT16AB3784 (99.26%)	NT17AB0025 (99.37%)	NT20ABA0065 (99.26%)
NT08AB0029	NT16AB3783 (99.60%)	NT17AB0026 (99.60%)	NT20ABA0066 (99.60%)
NT08AB0030			
NT08AB0031	NT16AB3780 (98.86%)	NT17AB0027 (98.41%)	NT20ABA0067 (98.86%)
NT08AB0032	NT16AB3779 (100.00%)	NT17AB0028 (100.00%)	NT20ABA0068 (100.00%)
NT08AB0033	NT16AB3778 (100.00%)	NT17AB0029 (100.00%)	NT20ABA0069 (100.00%)
NT08AB0034	NT16AB3777 (100.00%)	NT17AB0030 (100.00%)	NT20ABA0070 (100.00%)
NT08AB0035	NT16AB3776 (100.00%)	NT17AB0031 (99.21%)	NT20ABA0071 (100.00%)
NT08AB0036	NT16AB3775 (99.74%)	NT17AB0032 (99.49%)	NT20ABA0072 (100.00%)
NT08AB0037	NT16AB3774 (99.39%)	NT17AB0034 (97.55%)	NT20ABA0073 (99.39%)
NT08AB0038	NT16AB3773 (99.69%)	NT17AB0035 (99.33%)	NT20ABA0074 (99.69%)
NT08AB0039	NT16AB3772 (100.00%)	NT17AB0036 (99.78%)	NT20ABA0075 (100.00%)
NT08AB0040	NT16AB3771 (99.06%)	NT17AB0037 (91.40%)	NT20ABA0076 (99.06%)
NT08AB0041	NT16AB3770 (100.00%)	NT17AB0039 (99.15%)	NT20ABA0077 (100.00%)
NT08AB0042	NT16AB3769 (100.00%)	NT17AB0040 (100.00%)	NT20ABA0078 (100.00%)
NT08AB0043	NT16AB3768 (99.57%)	NT17AB0041 (99.57%)	NT20ABA0079 (99.57%)
NT08AB0044	NT16AB3767 (98.99%)	NT17AB0042 (99.49%)	NT20ABA0080 (98.99%)
NT08AB0045	NT16AB3766 (99.51%)	NT17AB0043 (99.02%)	NT20ABA0081 (99.50%)
NT08AB0046	NT16AB3765 (100.00%)	NT17AB0044 (98.60%)	NT20ABA0082 (99.53%)
NT08AB0047	NT16AB3764 (100.00%)	NT17AB0045 (98.88%)	NT20ABA0083 (99.53%)
NT08AB0048	NT16AB3763 (97.36%)	NT17AB0046 (96.77%)	NT20ABA0084 (97.65%)
NT08AB0049	NT16AB3762 (99.21%)	NT17AB0047 (98.95%)	NT20ABA0085 (97.64%)
NT08AB0050	NT16AB3761 (100.00%)	NT17AB0048 (100.00%)	NT20ABA0086 (100.00%)
NT08AB0051	NT16AB3760 (93.33%)	NT17AB0049 (97.78%)	NT20ABA0087 (93.33%)
NT08AB0052	NT16AB3759 (98.61%)	NT17AB0050 (98.75%)	NT20ABA0088 (98.61%)
NT08AB0053	NT16AB3758 (99.64%)	NT17AB0051 (100.00%)	NT20ABA0090 (99.64%)
NT08AB0054	NT16AB3757 (100.00%)	NT17AB0052 (100.00%)	NT20ABA0089 (100.00%)
NT08AB0055	NT16AB3756 (100.00%)	NT17AB0053 (98.94%)	NT20ABA0091 (100.00%)
NT08AB0056	NT16AB3755 (99.81%)	NT17AB0055 (99.57%)	NT20ABA0092 (99.81%)
NT08AB0057	NT16AB3754 (99.13%)	NT17AB0057 (99.09%)	NT20ABA0093 (99.13%)
NT08AB0058	NT16AB3753 (98.75%)	NT17AB0058 (98.75%)	NT20ABA0094 (98.33%)
NT08AB0059	NT16AB3752 (91.31%)	NT17AB0059 (97.77%)	NT20ABA0095 (94.64%)
NT08AB0060	NT16AB3751 (92.96%)	NT17AB0060 (95.77%)	NT20ABA0096 (92.96%)
