NT08AB0001	NT16AB0001	NT17AB0001	NT20ABA0020
NT08AB0002	NT16AB0002	NT17AB0002	NT20ABA0019
NT08AB0003	NT16AB0003	NT17AB0003	NT20ABA0018
NT08AB0004	NT16AB0004	NT17AB0004	NT20ABA0017
NT08AB0005	NT16AB0005	NT17AB0005	NT20ABA0016
NT08AB0006	NT16AB0006	NT17AB0006	NT20ABA0015
NT08AB0007	NT16AB0007	NT17AB0007	NT20ABA0014
NT08AB0008	NT16AB0008	NT17AB0008	NT20ABA0013
NT08AB0009	NT16AB0009	NT17AB0009	NT20ABA0006
NT08AB0010	NT16AB0010	NT17AB0010	NT20ABA0005
NT08AB0011	NT16AB0011	NT17AB0011	NT20ABA0004
NT08AB0012	NT16AB0012	NT17AB0014	NT20ABA0003
NT08AB0013	NT16AB0013	NT17AB0015	NT20ABA0002
NT08AB0014	NT16AB0014	NT17AB0016	NT20ABA0001
NT08AB0015	----------	----------	----------
NT08AB0016	----------	----------	----------
NT08AB0017	----------	----------	----------
NT08AB0018	----------	----------	----------
NT08AB0019	----------	----------	----------
NT08AB0020	----------	----------	----------
NT08AB0021	----------	----------	----------
NT08AB0022	----------	----------	----------
NT08AB0023	----------	NT17AB2298	----------
NT08AB0024	NT16AB3788	NT17AB2701	NT20ABA0061
NT08AB0025	NT16AB3787	NT17AB2699	NT20ABA0062
NT08AB0026	NT16AB3786	NT17AB0023	NT20ABA0063
NT08AB0027	NT16AB3785	NT17AB0024	NT20ABA0064
NT08AB0028	NT16AB3784	NT17AB0025	NT20ABA0065
NT08AB0029	NT16AB3783	NT17AB0026	NT20ABA0066
NT08AB0030	----------	----------	----------
NT08AB0031	NT16AB3780	NT17AB0027	NT20ABA0067
NT08AB0032	NT16AB3779	NT17AB0028	NT20ABA0068
NT08AB0033	NT16AB3778	NT17AB0029	NT20ABA0069
NT08AB0034	NT16AB3777	NT17AB0030	NT20ABA0070
NT08AB0035	NT16AB3776	NT17AB0031	NT20ABA0071
NT08AB0036	NT16AB3775	NT17AB0032	NT20ABA0072
NT08AB0037	NT16AB3774	NT17AB0034	NT20ABA0073
NT08AB0038	NT16AB3773	NT17AB0035	NT20ABA0074
NT08AB0039	NT16AB3772	NT17AB0036	NT20ABA0075
